AAPL
MSFT
NVDA
AMZN
META
GOOGL
TSLA
AMD
NFLX
AVGO
SPY
QQQ
IWM
INTC
SHOP
CRWD
UBER
ABNB
SNOW
PLTR
BTC-USD
ETH-USD
SOL-USD
